  CALEB EWAN  ,151,LOTTO SOUDAL  ,'05h 17'' 42'''''
  SAM BENNETT  ,43,DECEUNINCK - QUICK - STEP  ,'05h 17'' 42'''''
  GIACOMO NIZZOLO  ,191,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  HUGO HOFSTETTER  ,174,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  PETER SAGAN  ,21,BORA - HANSGROHE  ,'05h 17'' 42'''''
  EDWARD THEUNS  ,108,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  CEES BOL  ,203,TEAM SUNWEB  ,'05h 17'' 42'''''
  MATTEO TRENTIN  ,117,CCC TEAM  ,'05h 17'' 42'''''
  BRYAN COQUARD  ,211,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  NICCOLÒ BONIFAZIO  ,181,TOTAL DIRECT ENERGIE  ,'05h 17'' 42'''''
  LUKA MEZGEC  ,167,MITCHELTON - SCOTT  ,'05h 17'' 42'''''
  TOM VAN ASBROECK  ,178,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  JONAS KOCH  ,115,CCC TEAM  ,'05h 17'' 42'''''
  JACK BAUER  ,162,MITCHELTON - SCOTT  ,'05h 17'' 42'''''
  ALEXANDER KRISTOFF  ,135,UAE TEAM EMIRATES  ,'05h 17'' 42'''''
  HUGO HOULE  ,143,ASTANA PRO TEAM  ,'05h 17'' 42'''''
  MARC SOLER  ,97,MOVISTAR TEAM  ,'05h 17'' 42'''''
  ALEXEY LUTSENKO  ,146,ASTANA PRO TEAM  ,'05h 17'' 42'''''
  JASPER STUYVEN  ,107,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  SIMONE CONSONNI  ,122,COFIDIS  ,'05h 17'' 42'''''
  DAMIANO CARUSO  ,63,BAHRAIN - MCLAREN  ,'05h 17'' 42'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'05h 17'' 42'''''
  JAN POLANC  ,138,UAE TEAM EMIRATES  ,'05h 17'' 42'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'05h 17'' 42'''''
  OLIVER NAESEN  ,35,AG2R LA MONDIALE  ,'05h 17'' 42'''''
