  ALEXEY LUTSENKO  ,146,ASTANA PRO TEAM  ,'04h 32'' 34'''''
  JESUS HERRADA  ,124,COFIDIS  ,'04h 33'' 29'''''
  GREG VAN AVERMAET  ,111,CCC TEAM  ,'04h 34'' 49'''''
  NEILSON POWLESS  ,77,EF PRO CYCLING  ,'04h 34'' 51'''''
  JULIAN ALAPHILIPPE  ,41,DECEUNINCK - QUICK - STEP  ,'04h 35'' 26'''''
  BAUKE MOLLEMA  ,104,TREK - SEGAFREDO  ,'04h 35'' 27'''''
  MICHAL KWIATKOWSKI  ,5,INEOS GRENADIERS  ,'04h 35'' 27'''''
  EGAN BERNAL  ,1,INEOS GRENADIERS  ,'04h 35'' 27'''''
  RICHARD CARAPAZ  ,3,INEOS GRENADIERS  ,'04h 35'' 27'''''
  ADAM YATES  ,161,MITCHELTON - SCOTT  ,'04h 35'' 27'''''
  TADEJ POGACAR  ,131,UAE TEAM EMIRATES  ,'04h 35'' 27'''''
  ESTEBAN CHAVES  ,164,MITCHELTON - SCOTT  ,'04h 35'' 27'''''
  NAIRO QUINTANA  ,81,TEAM ARKEA - SAMSIC  ,'04h 35'' 27'''''
  THIBAUT PINOT  ,51,GROUPAMA - FDJ  ,'04h 35'' 27'''''
  TOM DUMOULIN  ,14,TEAM JUMBO - VISMA  ,'04h 35'' 27'''''
  ALEJANDRO VALVERDE  ,91,MOVISTAR TEAM  ,'04h 35'' 27'''''
  MAXIMILIAN SCHACHMANN  ,28,BORA - HANSGROHE  ,'04h 35'' 27'''''
  ROMAIN BARDET  ,31,AG2R LA MONDIALE  ,'04h 35'' 27'''''
  EMANUEL BUCHMANN  ,22,BORA - HANSGROHE  ,'04h 35'' 27'''''
  SERGIO ANDRES HIGUITA  ,74,EF PRO CYCLING  ,'04h 35'' 27'''''
  PRIMOŽ ROGLIC  ,11,TEAM JUMBO - VISMA  ,'04h 35'' 27'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'04h 35'' 27'''''
  PIERRE ROLLAND  ,218,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'04h 35'' 27'''''
  ENRIC MAS  ,94,MOVISTAR TEAM  ,'04h 35'' 27'''''
  MIGUEL ANGEL LOPEZ  ,141,ASTANA PRO TEAM  ,'04h 35'' 27'''''
  MIKEL LANDA  ,61,BAHRAIN - MCLAREN  ,'04h 35'' 27'''''
  GUILLAUME MARTIN  ,121,COFIDIS  ,'04h 35'' 27'''''
  DAMIANO CARUSO  ,63,BAHRAIN - MCLAREN  ,'04h 35'' 27'''''
  DOMENICO POZZOVIVO  ,197,NTT PRO CYCLING TEAM  ,'04h 35'' 27'''''
  RICHIE PORTE  ,101,TREK - SEGAFREDO  ,'04h 35'' 27'''''
  HUGH JOHN CARTHY  ,73,EF PRO CYCLING  ,'04h 35'' 27'''''
  MARC SOLER  ,97,MOVISTAR TEAM  ,'04h 35'' 27'''''
  SÉBASTIEN REICHENBACH  ,58,GROUPAMA - FDJ  ,'04h 35'' 27'''''
  ALEXIS VUILLERMOZ  ,38,AG2R LA MONDIALE  ,'04h 35'' 35'''''
  DANIEL FELIPE MARTINEZ  ,76,EF PRO CYCLING  ,'04h 35'' 35'''''
  ILNUR ZAKARIN  ,118,CCC TEAM  ,'04h 35'' 35'''''
  FABIO ARU  ,132,UAE TEAM EMIRATES  ,'04h 35'' 35'''''
  VALENTIN MADOUAS  ,56,GROUPAMA - FDJ  ,'04h 35'' 35'''''
  KENNY ELISSONDE  ,103,TREK - SEGAFREDO  ,'04h 35'' 35'''''
  PELLO BILBAO  ,62,BAHRAIN - MCLAREN  ,'04h 35'' 40'''''
  ROMAIN SICARD  ,186,TOTAL DIRECT ENERGIE  ,'04h 35'' 40'''''
  WARREN BARGUIL  ,83,TEAM ARKEA - SAMSIC  ,'04h 35'' 40'''''
  SEPP KUSS  ,16,TEAM JUMBO - VISMA  ,'04h 35'' 40'''''
  MIKAEL CHEREL  ,32,AG2R LA MONDIALE  ,'04h 35'' 42'''''
  BEN HERMANS  ,173,ISRAEL START-UP NATION  ,'04h 35'' 46'''''
  RUDY MOLARD  ,57,GROUPAMA - FDJ  ,'04h 35'' 46'''''
  JAN POLANC  ,138,UAE TEAM EMIRATES  ,'04h 35'' 46'''''
  BOB JUNGELS  ,47,DECEUNINCK - QUICK - STEP  ,'04h 35'' 46'''''
  ROBERT GESINK  ,15,TEAM JUMBO - VISMA  ,'04h 35'' 55'''''
  GEORGE BENNETT  ,12,TEAM JUMBO - VISMA  ,'04h 36'' 13'''''
  ION IZAGUIRRE INSAUSTI  ,145,ASTANA PRO TEAM  ,'04h 36'' 13'''''
  WINNER ANACONA  ,82,TEAM ARKEA - SAMSIC  ,'04h 36'' 17'''''
  HAROLD TEJADA  ,148,ASTANA PRO TEAM  ,'04h 36'' 20'''''
  JONATHAN CASTROVIEJO  ,4,INEOS GRENADIERS  ,'04h 36'' 41'''''
  MIKEL NIEVE  ,168,MITCHELTON - SCOTT  ,'04h 36'' 58'''''
  NICOLAS ROCHE  ,208,TEAM SUNWEB  ,'04h 39'' 41'''''
  GORKA IZAGUIRRE INSAUSTI  ,144,ASTANA PRO TEAM  ,'04h 41'' 15'''''
  THOMAS DE GENDT  ,154,LOTTO SOUDAL  ,'04h 41'' 43'''''
  HUGO HOULE  ,143,ASTANA PRO TEAM  ,'04h 41'' 43'''''
  LUIS LEÓN SANCHEZ  ,147,ASTANA PRO TEAM  ,'04h 41'' 43'''''
  RÉMI CAVAGNA  ,44,DECEUNINCK - QUICK - STEP  ,'04h 41'' 47'''''
  DAVID GAUDU  ,53,GROUPAMA - FDJ  ,'04h 43'' 12'''''
  NELSON OLIVEIRA  ,95,MOVISTAR TEAM  ,'04h 43'' 12'''''
  DAVIDE FORMOLO  ,134,UAE TEAM EMIRATES  ,'04h 43'' 22'''''
  JAN HIRT  ,114,CCC TEAM  ,'04h 43'' 22'''''
  SIMON GESCHKE  ,113,CCC TEAM  ,'04h 43'' 27'''''
  WOUT VAN AERT  ,18,TEAM JUMBO - VISMA  ,'04h 48'' 16'''''
  NICOLAS EDET  ,123,COFIDIS  ,'04h 48'' 16'''''
  DIEGO ROSA  ,86,TEAM ARKEA - SAMSIC  ,'04h 48'' 16'''''
  NIKLAS EG  ,102,TREK - SEGAFREDO  ,'04h 49'' 08'''''
  DANIEL MARTIN  ,171,ISRAEL START-UP NATION  ,'04h 49'' 21'''''
  FELIX GROSSSCHARTNER  ,23,BORA - HANSGROHE  ,'04h 49'' 33'''''
